sarga,shloka#,Shloka
1,22,राज्याभिषेकेऽवसितेऽत्र सीता प्रेष्ठाय नस्तां भजतां दिशेति ।<BR> रामस्य वाण्या मणिमञ्जुमालाव्याजेन दीर्घा• करुणां बबन्ध॥२२॥
1,23,हृदोरुसौहार्दभृताऽधिमौलिन्यस्तेन हस्तेन दयार्द्रदृष्ट्या ।<BR> सेवाप्रसन्नोऽमृतकल्पवाचा दिदेश देवः सहभोगमस्मै ॥ २३ ॥
1,24,प्रेष्ठो न रामस्य बभूव तस्मान्न रामराज्येऽसुलभं च किञ्चित् ।<BR> तत्पादसेवारतिरेष नैच्छत् तथापि भोगान् ननु सा विरक्तिः ॥ २४ ॥
1,25,नमो नमो नाथ नमो नमस्ते नमो नमो राम नमो नमस्ते ।<BR> पुनः पुनस्ते चरणारविन्दं नमामि नाथेति नमन् स रेमे॥ २५ ॥
1,26,किं वर्णयामः परमं प्रसादं सीतापतेस्तत्र हरिप्रबर्हे ।<BR> मुञ्चन्महीं नित्यनिषेवणार्थं स्वात्मानमेवैष ददौ यदस्मै॥ २६ ॥
1,27,स्वानन्दहेतौ भजतां जनानां मग्नः सदा रामकथासुधायाम् ।<BR> असाविदानीं च निषेवमाणो रामं पतिं किम्पुरुषे किलास्ते॥ २७ ॥
1,28,तस्यैव वायोरवतारमेनं सन्तो द्वितीयं प्रवदन्ति भीमम् ।<BR> स्पृष्टैव यं प्रीतिमताऽनिलेन नरेन्द्रकान्ता सुषुवेऽत्र कुन्ती॥ २८ ॥
1,29,इन्द्रायुधं हीन्द्रकराभिनुन्नं चिच्छेद पक्षान् क्षितिधारिणां प्राक् ।<BR> बिभेद भूभृद्वपुरङ्गसङ्गाच्चित्रं स पन्नो जननीकराग्रात् ॥ २९ ॥
1,30,पुरे कुमारानलसान् विहारान्निरीक्ष्य सर्वानपि मन्दलीलः ।<BR> कैशोरलीलां हतसिंहसङ्घां वने प्रवृत्तां स्मरति स्म सूत्कः॥ ३० ॥
1,31,भुक्तं च जीर्णं परिपन्थिदत्तं विषं विषण्णो विषभृद्गुणोऽतः ।<BR> प्रमाणकोटेः स हि हेलयाऽगान्नेदं जगज्जीवनदेऽत्र चित्रम्॥ ३१ ॥
1,32,दग्ध्वा पुरं योगबलात्स निर्यन्धर्मानिव स्वान् सहजान्दधानः ।<BR> अदारिभावेन जगत्सु पूज्यो योगीव नारायणमाससाद॥ ३२ ॥
1,33,समर्प्य कृत्यानि कृती कृतानि व्यासाय भूम्ने सुकृतानि तावत् ।<BR> करिष्यमाणानि च तस्य पूजां सङ्कल्पयामास स शुद्धबुद्धिः ॥ ३३ ॥
1,34,विष्णोः पदश्रिद्बकसन्निरासी क्षिप्तान्यपक्षिप्रकरः सुपक्षः ।<BR> ससोदरोऽथादित राजहंसः स राजहंसीमिव राजकन्याम्॥ ३४ ॥
1,35,इन्दीवरश्रीजयिसुन्दराभं स्मेराननेन्दुं दयितं मुकुन्दम् ।<BR> स्वमातुलेयं कमलायताक्षं समभ्यनन्दत्सुचिराय भीमः॥ ३५ ॥
1,36,महागदं चण्डरणं पृथिव्यां बार्हद्रथं मङ्क्षु निरस्य वीरः ।<BR> राजानमत्युज्ज्वलराजसूयं चकार गोाविन्दसुरेन्द्रजाभ्याम् ॥ ३६ ॥
1,37,दुःशासनेनाकुलितान् प्रियायाः सूक्ष्मानरालानसितांश्च केशान् ।<BR> जिघांसया वैरिजनस्य तीक्ष्णः स कृष्णसर्पानिव सञ्चिकाय ॥ ३७ ॥
1,38,जाज्वल्यमानस्य वने वनेऽलं दिधक्षतः पार्थिवसार्थमुग्रम् ।<BR> सत्वानि पुंसां भयदानि नाशं वृकोदराग्नेर्गुरुतेजसाऽऽपुः ॥ ३८ ॥
1,39,भोगाधिकाभोगवतोऽरुणाक्षानितस्ततः सञ्चलतो धरेन्द्रे ।<BR> बहून् द्विजिह्वान्मणिमत्पुरोगानसौ कटून् क्रोधवशाञ्जघान॥ ३९ ॥
1,40,अथैष वेषान्तरभस्मलीनः क्रमेण वायुप्रभवः सुतेजाः ।<BR> रुद्धाखिलाशं मुखरं प्रचण्डं भस्मीचकाराखिलकीचकौघम्॥ ४० ॥
1,41,स कृष्णवर्त्मा विजयेन युक्तो मुहुर्महाहेतिधरोऽप्रधृष्यः ।<BR> भीष्मद्विजाद्यैरतिभीषणाभं विपक्षकक्षं क्षपयन् विरेजे ॥ ४१ ॥
1,42,तरस्विनः प्रोच्चलितानधीरान्निर्दग्धपक्षानतितीक्ष्णकोपान् ।<BR> स धार्तराष्ट्रान् बहुहेतिलीलो विनाश्य विश्वान्परया श्रियाऽभात्॥४२॥
1,43,कृष्णाङ्घ्रिपङ्केरुहभृङ्गराजः कृष्णामुखाम्भोरुहहंसराजः ।<BR> प्रजासरोजावलिरश्मिराजः ससोदरोऽराजत वीरराजः॥ ४३ ॥
1,44,पौत्रे पवित्राह्वयजामिपौत्रे धरां निधायासुरधीषु तापम् ।<BR> कीर्तिं त्रिलोक्यां हृदये मुकुन्दं भेजे पदं स्वं सहजैः स भीमः ॥ ४४ ॥
1,45,विष्णोः पदान्तं भजताऽनिलेन घोरप्रघातैरिति नाशितास्ते ।<BR> रसोज्खिताश्चञ्चलवृत्तयोऽलं शोभां न भेजुः सुरवैरिमेघाः॥ ४५ ॥
1,46,एतत्प्रतीपं किल कर्तुकामा नष्टौजसः सङ्कटमेवमाप्य ।<BR> मुकुन्दवैगुण्यकथां स्वयोग्यां काले कलावाकलयन्त तेऽलम्॥४६॥
1,47,यो भूरिवैरो मणिमान्मृतः प्राग्वाग्मी बुभूषुः परितोषितेशः ।<BR> स संकराख्योंऽघ्रितलेषु जज्ञे स्पृधाऽपरेऽप्यासुरिहासुरेन्द्राः॥ ४७ ॥
1,48,सान्नाय्यमव्यक्तहृदाखुभुग्वा श्वा वा पुरोडाशमसारकामः ।<BR> मणिस्रजं वा प्लवगोऽव्यवस्थो जग्राह वेदादिकमेष पापः॥ ४८ ॥
1,49,जनो नमेन्नापरथेति मत्वा शठश्चतुर्थाश्रममेष भेजे ।<BR> पद्माकरं वा कलुषीचिकीर्षुः सुदुर्दमो दुष्टगजो विशुद्धम्॥ ४९ ॥
1,50,अवैदिकं माध्यमिकं निरस्तं निरीक्ष्य तत्पक्षसुपक्षपाती ।<BR> तमेव पक्षं प्रतिपादुकोऽसौ न्यरूरुपन्मार्गमिहानुरूपम्॥ ५० ॥
1,51,असत्पदेऽसन् सदसद्विविक्तं मायाख्यया संवृतिमभ्यधत्त ।<BR> ब्रह्माप्यखण्डं बत शून्यसिद्ध््यै् प्रच्छन्नबौद्धोऽयमतः प्रसिद्धः॥५१॥
1,52,यद्ब्रह्मसूत्रोत्करभास्करं च प्रकाशयन्तं सकलं स्वगोभिः ।<BR> अचूचुरद्वेदसमूहवाहं ततो महातस्करमेनमाहुः ॥ ५२ ॥
1,53,स्वसूत्रजातस्य विरुद्धभाषी तद्भाष्यकारोऽहमिति ब्रुवन् यः ।<BR> तं तत्क्षणाद्यो न दिधक्षति स्म स व्यासरूपो भगवान् क्षमाब्धिः॥ ५३ ॥
1,54,निगमसन्मणिदीपगणोऽभवत्तदुरुवाग्गणपङ्कनिगूढभाः ।<BR> अविदुषामिति संकरताकरः स किल संकर इत्यभिशुश्रुवे॥ ५४ ॥
1,55,विश्वं मिथ्या विभुरगुणवानात्मनां नास्ति भेदो दैत्या इत्थं व्यदधत गिरां दिक्षु भूयः प्रसिद्धिम् ।<BR> आनन्दाद्यैर्गुरुगुणगणैः पूरितो वासुदेवो मन्दं मन्दं मनसि च सतां हन्त नूनं तिरोऽभूत्॥५५॥
2,1,विज्ञानभानुमति कालबलेन लीने दुर्भाष्यसन्तमससन्ततितो जनेऽन्धे ।<BR> मार्गात् सतां स्खलति खिन्नहृदो मुकुन्दं देवाश्चतुर्मुखमुखाः शरणं प्रजग्मुः॥ १ ॥
2,2,नाथः कलौ त्रियुगहूतिरनुद्बुभूषुर्ब्रह्माणमप्यनवतारमनादिदिक्षुः ।<BR> सर्वज्ञमन्यमनवेक्ष्य सकार्यवीर्यं स्मेराननो भुवनजीवनमाबभाषे ॥ २॥
2,3,वेदान्तमार्गपरिमार्गणदीनदूना दैवीः प्रजा विशरणाः करुणापदं नः ।<BR> आनन्दयेः सुमुख भूषितभूमिभागो रूपान्तरेण मम सद्गुणनिर्णयेन ॥३॥
2,4,आदेशमौलिमणिमुज्ज्वलवर्णमेनं बद्धाञ्जलिर्मरुदनर्घमधत्त मूर्ध्ना ।<BR> हारावलीमिव हृदा विबुधेन्द्रयाच्ञां बिभ्रन्निजाननुजिघृक्षुरवातितीर्षत्॥४॥
2,5,कालः स एव समवर्तत नाम यावच्चिन्ताकुलं विविधसाधुकुलं बभूव ।<BR> वेदान्तसन्ततकृतान्तरसं न विद्मः श्रेयो लभेमहि कथं नु वयं बतेति ॥५॥
2,6,तत्प्रीतये रजतपीठपुराधिवासी देवो विवेश पुरुषं शुभसूचनाय ।<BR> प्राप्ते महाय महिताय महाजनौघे कोलाहलेन सकुतूहलिनि प्रवृत्ते॥६॥
2,7,आविष्टवानकुशलं पुरुषं प्रकृत्या प्रत्याययन्निजजनान् नितरामनृत्यत् ।<BR> उत्तुङ्गकेतुशिखरे स कृताङ्गहारो रङ्गान्तरे नट इवाखिलविस्मयात्मा ॥ ७॥
2,8,आभाष्य सोऽत्र जनतां शपथानुविद्धमुच्चैरिदं वचनमुद्धृतदोर्बभाषे ।<BR> उत्पत्स्यते जगति विश्वजनीनवृत्तिर्विश्वज्ञ एव भगवानचिरादिहेति ॥ ८॥
2,9,सद्वीपवारिनिधिसप्तकभूतधात्र्या मध्येऽपि कर्मभुवि भारतनामखण्डे ।<BR> काले कलौ सुविमलान्वयलब्धजन्मा सन्मध्यगेहकुलमौलिमणिर्द्विजोऽभूत् ॥९॥
2,10,वेदाद्रिसद्रजतपीठपुरेश्वराभ्यां ग्रामो विभूषिततरः शिवरूप्यनामा ।<BR> हेमाद्रिराजविभुराजदिलावृताभस्तस्याभवद्गुरुगुणः खलु मूलभूमिः ॥१०॥
2,11,रामाधिवेशितहरिस्वसृमौलिमालाराजद्विमानगिरिशोभितमध्युवास ।<BR> क्षेत्रं स पाजकपदं त्रिकुलैककेतुः कं यद्दधाति सततं खलु विश्वपाजात्॥११॥
2,12,रेमेऽच्छयोपनिषदेव महाविवेको भक्त्येव शुद्धकरणः परमश्रिताऽलम् ।<BR> मिथ्याभिमानरहितः परयेव मुक्त्या स्वानन्दसन्ततिकृता स तया द्विजेन्द्रः ॥१३॥
2,13,तस्य प्रभोश्चरणयोः कुलदेवताया भक्तिं बबन्ध निजधर्मरतः स धीरः ।<BR> विज्ञातभारतपुराणमहारहस्यं यं भट्ट इत्यभिवदन्ति जना विनीतम्॥१४॥
2,14,गोविन्दसुन्दरकथासुधया स नॄणामानन्दयन्न किल केवलमिन्द्रियाणि ।<BR> किन्तु प्रभो रजतपीठपुरे पदाब्जं श्रीवल्लभस्य भजतामपि दैवतानाम् ॥१५॥
2,15,इत्थं हरेर्गुणकथासुधया सुतृप्तो नैर्गुण्यवादिषु जनेष्वपि साग्रहेषु ।<BR> तत्त्वे स कालचलधीरतिसंशयालुर्धीमान् धिया श्रवणशोधितया प्रदध्यौ ॥१६॥
2,16,त्राता य एव नरकात् स हि पुत्रनामा मुख्यावनं न सुलभं पुरुषादपूर्णात् ।<BR> तस्मात्समस्तविदपत्यमवद्यहीनं विद्याकराकृति लभेमहि कैरुपायैः ॥ १७ ॥
2,17,पूर्वेऽपि कर्दमपराशरपाण्डुमुख्या यत्सेवया गुणगणाढ्यमपत्यमापुः ।<BR> तं पूर्णसद्गुणतनुं करुणामृताब्धिं नारायणं कुलपतिं शरणं व्रजेम ॥१८॥
2,18,इत्थं विचिन्त्य स विचिन्त्यमनन्यबन्धुः प्रेष्ठप्रदं रजतपीठपुराधिवासम् ।<BR> भक्त्या भवाब्धिभयभङ्गदया शुभात्मा भेजे भुजङ्गशयनं द्विषडब्दकालम् ॥१९॥
2,19,पत्न््नया समं भगवतः स भजन् पदाब्जं भोगान् लघूनपि पुनर्लघयाञ्चकार ।<BR> दान्तं स्वयं च हृदयं दमयाञ्चकार स्वच्छं च देहमधिकं विमलीचकार ॥ २० ॥
2,20,तीव्रैः पयोव्रतमुखैर्विविधैर्व्रताग्रयैर्जायापती गुणगणार्णवपुत्रकामौ ।<BR> सम्पूर्णपूरुषमतोषयतां नितान्तं देवेरिताविव पुराऽदितिकश्यपौ तौ॥२१॥
2,21,नाथस्य भूरिकरुणासुधयाऽभिषिक्तौ श्रीश्रीधरप्रततिसारशरीरयष्टी ।<BR> भूरिव्रतप्रभवदिव्यसुकान्तिमन्तौ तौ देहशुद्धिमतिमात्रमथालभेताम्॥२२॥
2,22,कान्तादृतौ समुचितेऽथ बभार गर्भं सा भूसुरेन्द्रदुहिता जगतां सुखाय ।<BR> अच्छाम्बरेव रजनी परिपूरिताशा भाविन्यपास्ततमसं विधुमाद्यपक्षात् ॥२३॥
2,23,तं पूर्वपक्षसितबिम्बमिव प्रवृद्धं यावद्द्विजेन्द्रवनिता सुषुवेऽत्र तावत् ।<BR> अंशेन वायुरवतीर्य स रूप्यपीठे विष्णुं प्रणम्य भवनं प्रययौ तदीयम् ॥२४॥
2,24,सम्पूर्णलक्षणचणं नवराजमानद्वारान्तरं परमसुन्दरमन्दिरं तत् ।<BR> राजेव सत्पुरवरं भुवनाधिराजो निष्कासयन् परमसौ भगवान् विवेश ॥२५॥
2,25,सन्तुष्यतां सकलसन्निकरैरसद्भिः खिद्येत वायुरयमाविरभूत् पृथिव्याम् ।<BR> आख्यन्नितीव सुरदुन्दुभिमन्द्रनादः प्राश्रावि कौतुकवशैरिह मानवैश्च ॥२६॥
2,26,नाथं निषेव्य भवनानतिदूरमाप्तः प्राज्ञो महप्रकृतदुन्दभिनादपूर्वात् ।<BR> पुत्रोद्भवश्रवणतो महदाप्य सौख्यं ज्ञानं परोक्षपदमप्यमतेष्टहेतुम् ॥ २७॥
2,27,आविश्य वेश्म निजनन्दनमिन्दुवक्त्रं भूयोऽभिनन्द्य स मुकुन्ददयां प्रवन्द्य ।<BR> जातस्य तस्य गुणजातवहस्य जातकर्मादिकर्मनिवहं विदधे सुकर्मा ॥ २८ ॥
2,28,ज्ञानार्थमेव यदभूदसुदेव एष यद्वासुदेवपदभक्तिरतः सदाऽसौ ।<BR> तद्वासुदेवपदमन्ववदन् सुरेन्द्रास्तातेन यन्निगदितं सुतनामकर्त्रा॥२९॥
2,29,पातुं पयांसि शिशवे किल गोप्रदोऽस्मै पूर्वालयः स्वसुतसूनुतया प्रजातः ।<BR> निर्वाणहेतुमलभिष्ट परात्मविद्यां दानं ध्रुवं फलति पात्रगुणानुकूल्यात् ॥ ३० ॥
2,30,अत्रस्तमेव सततं परिफुल्लचक्षुः कान्त्या विडम्बितनवेन्दु जगत्यनर्घ्यम् ।<BR> तत्पुत्ररत्नमुपगृह्य कदाचिदाप्तः स्वस्वामिने बुध उपायनमार्पयत्सः ॥ ३१ ॥
2,31,नत्वा हरिं रजतपीठपुराधिवासं बालस्य सम्पदमनापदमर्थयित्वा ।<BR> साकं सुतेन परिवारजनान्वितोऽसौ प्रायान्निशीथसमये निजमेव धाम॥३२॥
2,32,दोषेयुषां सममनेन वनेऽतिभीमे तत्क्रीडितग्रह इहैकतमं तुतोद ।<BR> उद्वान्तरक्तमवलोक्य तमभ्यधायि केनाप्यहो न शिशुतुत्कथमेष इत्थम्॥३३॥
2,33,आविश्य पूरुषमुवाच महाग्रहोऽसौ अस्मद्विहारसमयोपगतान् समस्तान् ।<BR> यच्छक्तिगुप्तिरहितानलमस्मि हन्तुं लोकेश्वरः स बत बालतमः किलेति॥३४॥
2,34,स्तन्येन बालमनुतोष्य मुहुः स्वधाम्नो माता कदाचन ययौ विरहासहाऽपि ।<BR> विश्वस्य विश्वपरिपालकपालनाय कन्यां निजामनुगुणां किल भीरुरेषा ॥३५॥
2,35,सा बालकं प्ररुदितं परिसान्त्वयन्ती मुग्धाक्षरेण वचसाऽनुनिनाय मुग्धा ।<BR> मा तात तात सुमुखेति पुनः प्ररोदीर्माता तनोति रुचितं त्वरितं तवेति ॥३६॥
2,36,रोदे क्रियासमभिहारत एव वृत्ते पोतस्य मातरि चिरादपि नागतायाम् ।<BR> जग्राह बालमथ चैक्षत मातृमार्गं साऽपि क्रियासमभिहारत एव बाला ॥३७॥
2,37,कर्तव्यमौढ्यमभिपद्य निरूप्य सा तं प्राभोजयत् खलु कुलत्थकुलं प्रपक्वम् ।<BR> शीतं पयोऽपि सततं परिपाययन्ती यस्योष्णरोगमतिवेलमशङ्कताम्बा ॥ ३८॥
2,38,नूनं पिपासुरतिरोदिति हन्त बालो धिङ् मां दयाविरहितां परकृत्यसक्ताम् ।<BR> इत्याकुला गृहमुपेत्य तदा प्रसन्नं पूर्णोदरं सुतमवैक्षत विप्रपत्नी ॥ ३९ ॥
2,39,पृष्ट्वाऽवगम्य सकलं च ततः प्रवृत्तं यूनां च दुःसहमिदं शिशुनोपभुक्तम् ।<BR> इत्थं विचिन्त्य तनयां बहु भर्त्सयन्त्या भीतं तयोत कुपितं मनसाऽनुतप्तम् ॥ ४० ॥
2,40,आरोग्यशालिनि तदाऽपि पुरेव पुत्रे विस्मेरतामुपजगाम जनन्यमुष्य ।<BR> यस्य त्रिलोकजननी जननी विषेऽपि पीते न विस्मयमवाप समस्तशक्तेः॥४१॥
2,41,स्तन्यं मुहुः किल ददौ जननी गृहीत्वा क्षेमाय तं किल दधज्जनको जजाप ।<BR> अन्यो जनोऽपि किल लालयति स्म किन्तु सर्वोऽपि तन्मुखसुहासरसायनोत्कः ॥४२॥
2,42,देवादिसद्भिरनुपालितयाऽऽदरेण देव्यात्मनेव विलसत्पदया नितान्तम् ।<BR> अव्यक्तया प्रथमतो वदनेऽस्य वाण्या शालीनयेव भुवनार्चितया विजह्रे ॥४३॥
2,43,प्राग्रिङ्खणं स्वयमथ स्थितिमेष चक्रे पश्चाद्गतिं परिचयेन किल क्रमेण ।<BR> विश्वस्य चेष्टितमहो यदनुग्रहेण सर्वं तदस्य पवनस्य विडम्बनं हि ॥ ४४ ॥
2,44,पुच्छान्तमच्छमवलम्ब्य कदाचिदेष प्रातर्व्रजाद्व्रजत एव निजर्षभस्य ।<BR> प्रायात् प्रियस्य सहसा स्वजनैरदृष्टो नानावनेषु चरतश्चरतस्तृणानि ॥ ४५॥
2,45,उत्तुङ्गृङ्गलसितस्य महिष्ठमूर्तेः पादावृतावनितलस्य सुरन्ध्रकस्य ।<BR> आश्रित्य तस्य शुशुभेऽवयवैकदेशं बालो दिवाकर इवोदयपर्वतस्य ॥४६॥
2,46,लीलां करोति नु गृहान्तरगो नु बालः कूपान्तरे नु पतितः प्रकृतिस्वतन्त्रः ।<BR> इत्थं विचिन्त्य स मुहुः स्वजनो विमृग्य हन्तानवेक्ष्य तनयं हृदि तापमाप ॥४७॥
2,47,बालस्य बालपरिलम्बनगोचरं तव्द्यश्वस्यतापि वचनं वनगोचरोक्तम् ।<BR> यत्सायमैक्षत जनः शिशुमाव्रजन्तं एकाब्दकं वृषभबालकृतावलम्बम् ॥ ४८ ॥
2,48,चिन्तामणीन्द्रमिव चिन्तितदं दरिद्रो विज्ञानमार्गमिव विष्णुपरं मुमुक्षुः ।<BR> नष्टं च नन्दनमिति स्वजनोऽस्य लब्ध्वा नाथस्य तस्य तमनुग्रहमेव मेने॥४९॥
2,49,लीलावसानसमये सहसा कदाचिदार्योऽमुनाऽभ्यवहृतिं प्रति चोद्यमानः ।<BR> रोद्धैष नोऽस्ति धनिको वृषविक्रयीति प्रोवाच नन्दनमुखेन्दुमवेक्ष्य मन्दम् ॥५०॥
2,50,लीलाकरेण स करेण सुकोमलेन बीजान्तराणि किल कानिचिदाशु तस्मै ।<BR> स्मित्वाऽर्भकोऽभिमतनिष्कपदे यदाऽदादादत्त तानि धनिको बहुमानपूर्वम् ॥५१॥
2,51,लब्धं सुतादिति वदन् द्विजपुङ्गवेन कालान्तरे निजधने प्रतिदित्सितेऽपि ।<BR> साक्षादमानवनवाकृतितः स लेभे बीजच्छलेन पुरुषार्थमहो विशिष्टम् ॥ ५२ ॥
2,52,वासुदेवमिह वासुदेवतासत्कलामभिननन्द तं जनः ।<BR> वासुदेवमिति वासुदेवसन्नामकं विविधलीलमर्भकम्॥ ५३ ॥
2,53,इति विहरति मह्यां विष्णुदासेऽपि गूढे समजनि सुजनानां चित्तमानन्दपूर्णम् ।<BR> उदयति घनमालालीनभानौ च भानौ ननु जननयनाब्जैर्लभ्यतेऽलं विकासः॥ ५४ ॥
3,1,अथ कदाचन सुन्दरनन्दनस्मितमुखेन्दुदृशां दयितौ नृणाम् ।<BR> महमितो निजबन्धुमुदे मुदा प्रययतुः स्वजनैः सह दम्पती ॥ १ ॥
3,2,स्वजनतापगमागमसङ्गमप्रतिसभाजितपूर्वकसम्भ्रमे ।<BR> अविदुषी जननीति स बालकः शरणतो रणतो निरगान्नृभिः॥ २ ॥
3,3,क्व नु यियाससि तात न सांप्रतं स्वजनसन्त्यजनं तव साम्प्रतम् ।<BR> इति विभुः पथिकैरुदितो व्रजन् स्मितमनाकुलमुत्तरमातनोत्॥ ३ ॥
3,4,त्वरितमेत्य स काननदेवतासदनमत्र ननाम रमापतिम् ।<BR> अपि ततः प्रगतो लघु नारिकेल्युपपदान्तरसद्मगतं च तम्॥ ४ ॥
3,5,नलिननाभनिभालनसंमदागमविकस्वरभास्वरलोचनः ।<BR> जनमनोनयनाम्बुजभास्करो रजतपीठपुरं प्रययावसौ॥ ५ ॥
3,6,सुहयमेधगणातिशयालवो हरिनमस्कृतयः सुकृता इमाः ।<BR> इति सुरैरपि भूसुरमण्डलैः समनमत् स सविस्मयमीक्षितः॥ ६ ॥
3,7,न हि हरिं सततं न नमत्यसौ न च न पश्यति नापि न वन्दते ।<BR> अपि तथेति विधाय विशेषतः स ननु साधुजनान् समशिक्षयत् ॥ ७॥
3,8,अनवलोक्य सुतं सुतवत्सलो मृगयति स्म महीसुरपुङ्गवः ।<BR> मुहुरपृच्छदमुष्य गतिं नरान् पथि पथि प्रगतोऽनुपदं द्रुतम्॥ ८ ॥
3,9,जनसदागतिसूचितवर्त्मना प्रतिपदं व्रजता परया तृषा ।<BR> द्विजमहामधुपेन मनोहरं स्मितमलाभि सुताननवारिजम्॥ ९ ॥
3,10,विरहदूनतयोद्गमनोन्मुखं न्यरुणदश्रु पुरा स ययोर्दृशोः ।<BR> अथ तयोः प्रमदोत्थितमप्यदः प्रतिनिरुध्य गिरं गुरुरब्रवीत्॥ १० ॥
3,11,अयि सुतेदमुदाहर तत्त्वतो ननु समागतवानसि साम्प्रतम् ।<BR> स्वजनतारहितस्य तु कोऽत्र ते सहचरोऽर्भक दीर्घतमे पथि॥ ११॥
3,12,जनकवाचमिमामवधारयन् कलमुदाहरदम्बुरुहेक्षणः ।<BR> स्वपदमाव्रजतो व्रजतोऽप्यतो ननु सखा मम काननगो विभुः॥ १२ ॥
